-0.0010027,-0.48157,-0.1295,-0.091211,-0.13437,-0.17688,0.94391,-0.90893
-0.0019761,-0.57081,-0.18142,-0.10744,-0.1282,-0.17363,1.052,-0.9112
-0.0013272,-0.64382,-0.23561,-0.12626,-0.12139,-0.16974,1.1681,-0.90406
-0.0016517,-0.69963,-0.28947,-0.15027,-0.12398,-0.16649,1.235,-0.88654
-0.00067818,-0.74408,-0.34269,-0.17785,-0.12398,-0.16422,1.3083,-0.8635
-0.0019761,-0.77653,-0.39364,-0.20803,-0.13307,-0.16292,1.3518,-0.83754
-0.0010027,-0.80055,-0.44101,-0.24015,-0.13988,-0.16325,1.4401,-0.80574
-0.0019761,-0.81547,-0.48384,-0.2739,-0.15514,-0.16487,1.4796,-0.77264
-0.00067818,-0.82521,-0.52343,-0.30765,-0.16812,-0.16844,1.4968,-0.74019
-0.0016517,-0.8278,-0.55848,-0.34204,-0.18888,-0.17363,1.5497,-0.7058
-0.00067818,-0.82683,-0.58898,-0.37611,-0.20608,-0.18077,1.5708,-0.67237
-0.0019761,-0.81969,-0.61461,-0.40954,-0.22977,-0.19018,1.5994,-0.63992
-0.0013272,-0.81158,-0.63635,-0.43971,-0.25021,-0.20024,1.6017,-0.6091
-0.0023006,-0.7986,-0.6542,-0.46924,-0.27649,-0.21354,1.6227,-0.57957
-0.0013272,-0.78497,-0.66815,-0.49617,-0.29759,-0.22652,1.6312,-0.55231
-0.0019761,-0.76745,-0.67756,-0.52278,-0.32419,-0.24242,1.6309,-0.52765
-0.00067818,-0.7509,-0.68405,-0.54517,-0.34594,-0.25832,1.6412,-0.50494
-0.0023006,-0.73078,-0.6873,-0.56594,-0.37222,-0.27617,1.6659,-0.48352
-0.00067818,-0.71131,-0.68795,-0.58379,-0.39234,-0.29434,1.6977,-0.46535
-0.0019761,-0.6899,-0.686,-0.59936,-0.41732,-0.31251,1.6578,-0.4501
-0.0016517,-0.67043,-0.68146,-0.61234,-0.43517,-0.33068,1.65,-0.43582
-0.0023006,-0.64804,-0.67464,-0.62402,-0.45788,-0.35015,1.6565,-0.42479
-0.0013272,-0.62694,-0.66653,-0.63116,-0.47314,-0.36865,1.6286,-0.4157
-0.0023006,-0.6052,-0.65647,-0.63733,-0.49228,-0.38779,1.6487,-0.40889
-0.0010027,-0.58508,-0.64544,-0.64155,-0.50494,-0.40564,1.6253,-0.40402
-0.0026251,-0.56432,-0.63311,-0.64382,-0.52116,-0.42316,1.6127,-0.4024
-0.0013272,-0.5455,-0.62013,-0.64317,-0.52992,-0.43939,1.5906,-0.39883
-0.0016517,-0.52538,-0.60618,-0.6422,-0.54258,-0.45594,1.5841,-0.39883
-0.0013272,-0.50851,-0.59157,-0.6383,-0.54842,-0.46989,1.5585,-0.40045
-0.0023006,-0.49001,-0.57697,-0.63473,-0.55815,-0.48449,1.5734,-0.40272
-0.0013272,-0.47443,-0.56172,-0.62792,-0.5614,-0.4965,1.5277,-0.40759
-0.0023006,-0.45788,-0.54712,-0.62208,-0.56659,-0.50883,1.5309,-0.41311
-0.0010027,-0.44426,-0.53187,-0.61299,-0.56626,-0.51954,1.5432,-0.41927
-0.0016517,-0.42965,-0.51727,-0.60488,-0.56951,-0.52862,1.5241,-0.42673
-0.0010027,-0.41797,-0.50234,-0.59482,-0.56659,-0.53609,1.5199,-0.43517
-0.0016517,-0.40499,-0.48806,-0.58541,-0.56756,-0.5429,1.49,-0.44198
-0.0013272,-0.39526,-0.47443,-0.57438,-0.56205,-0.54842,1.48,-0.44977
-0.0029496,-0.38455,-0.46081,-0.56432,-0.56042,-0.55328,1.4796,-0.45788
-0.0010027,-0.37644,-0.44815,-0.55199,-0.55361,-0.55588,1.4618,-0.466
-0.0016517,-0.36768,-0.43647,-0.54193,-0.55036,-0.55848,1.4521,-0.47346
-0.0013272,-0.36119,-0.42446,-0.52992,-0.54128,-0.55945,1.4689,-0.48125
-0.0016517,-0.35372,-0.41343,-0.51889,-0.53706,-0.55945,1.4478,-0.48904
-0.00067818,-0.34918,-0.40337,-0.50721,-0.52668,-0.55815,1.4605,-0.49585
-0.0016517,-0.34366,-0.39396,-0.49715,-0.52181,-0.55718,1.444,-0.50364
